App Name,Package Name,App MD5,Category,Red Packet Num,App Market
我是农场主红包版,com.yx.wsncz2,4f551e6b6fa7fa10b2fb37e3cbff54f3,leisure puzzle,1,Tencent
饿了么,me.ele,a36ab41efcdf850fb7b9725bf77140fd,comprehensive services,2,Tencent
惠赚日记,vip.yunjk.yan,e7566ee9caadafb00d83bcb4c365fde0,shopping payment,2,Tencent
包小省,cn.baoxiaosheng.mobile,59f799235533b150954f0affc4a06ca8,shopping payment,1,Anzhi
懒人极速版,cn.kuwo.tingshu.lite,cbbad5566cfcd5d5b651dc90eaac16ad,music,3,Anzhi
微鲤畅聊版-赚零花,cn.tech.weili.kankan,738ae8a8319fa25e5b35d449b6062f36,reading,1,Anzhi
微鲤看看-领现金,cn.weli.story,55caa4753e4b5becf50b00b547bc48d6,reading,1,Anzhi
百度极速版,com.baidu.searchbox.lite,dfa7cd6c8c518c228a552f7e5fc459f9,browser,5,Anzhi
看多多,com.baidu.searchbox.mission,81a4d912ee0cd2da321670387bb89b83,browser,4,Anzhi
口袋测测,com.bbcyxh.taluo,1f4c3921de19cd2390c315fac2d88c5f,leisure puzzle,1,Anzhi
惠头条,com.cashtoutiao,40e756fa88e06dd488e49ca1994818cb,reading,2,Anzhi
飒漫画,com.comic.isaman,a203df45d03e028db5711d02850823f3,reading,2,Anzhi
贝淘淘,com.dotbox.bailey,519961d48f02c68989e508fd0207a125,video,1,Anzhi
番茄免费小说,com.dragon.read,d83e1ae900c49ecb767cbd7d01db09ff,reading,2,Anzhi
同城红包群,com.dreamtd.redspeed,e8377c324ae020b70ee238f4a1440850,leisure puzzle,1,Anzhi
财经股票头条,com.eastmoney.android.tokyo,7d8d33d9a8d12d9c26d52ed32e0fdce9,financial investment,1,Anzhi
支付宝,com.eg.android.AlipayGphone,bd626562e5ce0318b5a9f96054824ce2,financial investment,2,Anzhi
返利喵,com.fanliddzs,d0d4b4feb310ddee3a89b0dd52099527,shopping payment,1,Anzhi
返利特价版,com.fanlitejiaban,9360fcd52ab5ad0249d6bed38c7a6629,shopping payment,1,Anzhi
运动赚钱,com.huiydzq.app,af5855a537711a37c1561269f6adcccc,sports and fitness,2,Anzhi
红包资讯,com.idealread.center,96f8d55a79a79920ca35f6cbfb46b525,reading,3,Anzhi
京东极速版,com.jd.jdlite,09fcc6810b2544dba9b127c6405a310c,shopping payment,2,Anzhi
京喜,com.jd.pingou,318ca06dcb30334d8f6de217cf3a4e3f,shopping payment,1,Anzhi
趣头条,com.jifen.qukan,ff7de741a15a00c324bc54191e9e060a,news,2,Anzhi
京东,com.jingdong.app.mall,2daae0537e23766d799ea3812beaf005,shopping payment,1,Anzhi
摩天轮票务,com.juqitech.niumowang,57fb3763c21485d1f39afc8cc08c9476,comprehensive services,1,Anzhi
省钱快报,com.jzyd.coupon,d2bab18ffad8ea569d4524241fbecd78,shopping payment,3,Anzhi
快手极速版,com.kuaishou.nebula,92c167cbf60c7c510597cc1d6df60822,video,4,Anzhi
步行多多赚钱,com.lexingzou.app,44d8857c4b831b8668a0c187f77661e3,sports and fitness,2,Anzhi
乐走计步赚钱,com.lezou51.app,a13aea054ae02d9046532f02e33b6459,sports and fitness,2,Anzhi
鲁大师,com.ludashi.benchmark,45c62b93db9d49da3ea887c3595fa5f0,system tools,1,Anzhi
羊毛省钱,com.meiyou.sheep,b1882899371eb732ab4675f8a3abb8a6,shopping payment,1,Anzhi
柚子街,com.meiyou.youzijie,8f26d1c62f54a820a1ad62805911c8a1,shopping payment,1,Anzhi
红包每天抢,com.mw.redpack,9f1aff6f63f7cb589ad922baf479d4b9,system tools,3,Anzhi
书童中状元,com.osq.game.chengyu,f472693b84a4efda4d5f7d31adb41f09,leisure puzzle,1,Anzhi
省哇,com.p405958547.ifw,0632c68de7eab8fda7554f9714881a27,shopping payment,1,Anzhi
走路赚钱,com.paobuzq.app,e45295f9d8dc61af180c44768cdf42c1,sports and fitness,3,Anzhi
泡美丽,com.paomeili.jiumei,f5e1d1a3968fc5b451c2d1faec0d4b71,shopping payment,1,Anzhi
答题中状元,com.qa.champion,a4a6cb194c973b10603e9312ebff4d1e,leisure puzzle,2,Anzhi
答题百万富翁,com.qa.millionnaire,10edc0ed886c3f2a3bf88b38799bc345,leisure puzzle,2,Anzhi
集金期货通,com.qh18.futures,85e48d501b95afa46cfd5518f88ee06e,financial investment,1,Anzhi
走路赚钱,com.quzhuan.app,6153410cb46cbd9822ccb2dc39baad64,sports and fitness,3,Anzhi
